제품,제품번호,원본 PDF,PDF 쪽,행,CAS,고치기 전,고친 뒤,확인일
BD-3 (비디-3),msds-098,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/BD-3(나바켐)(24)+(GHS).pdf",3,6,74-98-6,수소처리된 중질 파라핀 정제유(Distillates,프로판(Propane),2026-09-18
BD-3 (비디-3),msds-098,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/BD-3(나바켐)(24)+(GHS).pdf",3,7,106-97-8,"(petroleum), hydrotreated heavy paraffinic)",부탄(Butane),2026-09-18
K1(케이1),msds-100,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/K1(24)+(GHS).pdf",3,5,74-98-6,설폰산석유(Petroleum sulfonates),프로판(Propane),2026-09-18
K1(케이1),msds-100,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/K1(24)+(GHS).pdf",3,6,106-97-8,프로판(Propane),부탄(Butane),2026-09-18
LONG #2 스프레이,msds-101,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG#2+Spray(38)+(GHS).pdf",3,4,68425-34-3,폴리부텐(Polybutene),"페트롤레이텀(석유), 산화된 칼슘염",2026-09-18
LONG #2 스프레이,msds-101,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG#2+Spray(38)+(GHS).pdf",3,5,9003-29-6,칼슘 석유 설폰산,폴리부텐(Polybutene),2026-09-18
LONG #2 스프레이,msds-101,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG#2+Spray(38)+(GHS).pdf",3,9,74-98-6,수소처리된 경질 나프타 (석유),프로판(Propane),2026-09-18
LONG #2 스프레이,msds-101,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG#2+Spray(38)+(GHS).pdf",3,10,106-97-8,"(NAPHTHA (PETROLEUM), HYDRO",부탄(Butane),2026-09-18
LONG #2H(롱#2에이치),msds-102,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG+#2H(23)+(GHS).pdf",3,5,68425-34-3,수소처리된 중질 파라핀 정제유(Distillates,"페트롤레이텀(석유), 산화된 칼슘염",2026-09-18
LONG #2H(롱#2에이치),msds-102,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG+#2H(23)+(GHS).pdf",3,8,64742-47-8,"(Distillates(petroleum), hydrotreated light)",수소처리된 경질 정제유 (석유),2026-09-18
LONG #2H(롱#2에이치),msds-102,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG+#2H(23)+(GHS).pdf",3,10,74-98-6,"(NAPHTHA (PETROLEUM), HYDRO",프로판 (Propane),2026-09-18
MEGA CHECK 처리제(TREATMENT),msds-103,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/Mega+check+처리제+(6)+(GHS).pdf",3,2,64742-49-0,(메가 체크 처리제 (트리트먼트)) ( 3 / 12 ),수소처리된 경질 나프타 (석유),2026-09-18
MEGA CHECK 처리제(TREATMENT),msds-103,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/Mega+check+처리제+(6)+(GHS).pdf",3,3,74-98-6,수소처리된 경질 나프타 (석유),프로판(Propane),2026-09-18
MEGA CHECK 처리제(TREATMENT),msds-103,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/Mega+check+처리제+(6)+(GHS).pdf",3,4,106-97-8,"(NAPHTHA (PETROLEUM), HYDRO",부탄(Butane),2026-09-18
