제품,제품번호,원본 PDF,PDF 쪽,CAS,원본 값,현재 값,왜 걸렸나,조치,확인일
듀프렉스 그래비티 그레이[MGG](A203-C7071),msds-051,pdf/01_ 도장/KNK/듀프렉스 그래비티 그레이 (MGG) (A203C7071).pdf,2,108-10-1,"메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)","메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)",다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
듀프렉스 그래비티그레이 [KDG](A203-C7060),msds-052,pdf/01_ 도장/KNK/듀프렉스 그래비티그레이 KDG (A203-C7060).pdf,2,108-10-1,"메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)","메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)",다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
듀프렉스 그래비티그레이 [KDT-GP2](A203-C7066),msds-053,pdf/01_ 도장/KNK/듀프렉스 그래비티그레이 KDT-GP2 (A203-C7066).pdf,2,108-10-1,"메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)","메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)",다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
듀프렉스 언블리치드 아이보리 [NES](A203-X7020),msds-054,pdf/01_ 도장/KNK/듀프렉스 언블리치드 아이보리_NES_A203X7020_MSDS(260304).pdf,2,7631-86-9,"산화규소(Silicon dioxide), 실리카(amorphous)","산화규소(Silicon dioxide), 실리카(amorphous)",다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
듀프렉스 인페르노레드 [AJR](A203-R7038),msds-056,pdf/01_ 도장/KNK/듀프렉스 인페르노레드 AJR (A203-R7038).pdf,2,108-10-1,"메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)","메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)",다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
듀프렉스 플루톤 블루[PLU](A203-K7077),msds-057,pdf/01_ 도장/KNK/듀프렉스 플루톤 블루 (PLU) (A203-K7077)_MSDS.pdf,2,108-10-1,"메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)","메틸아이소뷰틸케톤(Methylisobutyl ketone, MIBK)",다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
듀프렉스 플루톤 블루[PLU](A203-K7077),msds-057,pdf/01_ 도장/KNK/듀프렉스 플루톤 블루 (PLU) (A203-K7077)_MSDS.pdf,2,7631-86-9,산화규소(Silicon dioxide),산화규소(Silicon dioxide),다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
아크렉스 프로스트 블루 [EBB](A203-K7079),msds-063,pdf/01_ 도장/KNK/아크렉스 프로스트 블루 (EBB)A203K7079.pdf,2,7631-86-9,"산화규소(Silicon dioxide), 실리카(amorphous)","산화규소(Silicon dioxide), 실리카(amorphous)",다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
일신 뿌리는 그리스,msds-075,pdf/00_ 사출/일신케미칼/MSDS(GHS)-뿌리는그리스(KOR).pdf,2,64742-47-8,"Distillates(Petroleum),Hydrotreated Light)Hydrotreated Kerosene","Distillates(Petroleum), Hydrotreated Light / Hydrotreated Kerosene",다른 물질 이름,손대지 않음 (원본 줄이 중간에서 잘림),2026-09-18
BD-3 (비디-3),msds-098,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/BD-3(나바켐)(24)+(GHS).pdf",,CAS 미기재,,BD-3 (비디-3) ( 3 / 14 ),쪽 번호 섞임,손대지 않음 (CAS 없음),2026-09-18
K1(케이1),msds-100,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/K1(24)+(GHS).pdf",,CAS 미기재,,K1 (케이 1) ( 3 / 14 ),쪽 번호 섞임,손대지 않음 (CAS 없음),2026-09-18
LONG #2 스프레이,msds-101,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG#2+Spray(38)+(GHS).pdf",,CAS 미기재,,(롱#2 스프레이) ( 3 / 16 ),쪽 번호 섞임,손대지 않음 (CAS 없음),2026-09-18
LONG #2H(롱#2에이치),msds-102,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG+#2H(23)+(GHS).pdf",,CAS 미기재,,LONG #2H (롱#2 에이치) ( 3 / 16 ),쪽 번호 섞임,손대지 않음 (CAS 없음),2026-09-18
LONG #2H(롱#2에이치),msds-102,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/LONG+#2H(23)+(GHS).pdf",3,64742-54-7,수소처리된 중질 파라핀 정제유 (Distillates,수소처리된 경질 정제유(석유),다른 물질 이름,손대지 않음 (원본 줄이 중간에서 잘림),2026-09-18
스티커 자국 제거제 SSR-220,msds-109,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/SSR-220(나바켐)(24)+(GHS).pdf",2,107-98-2,프로필렌 글리콜 모노메틸 에테르,프로필렌 글리콜 모노메틸 에테르,다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
스티커 자국 제거제 SSR-450,msds-110,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/SSR-450(나바켐)(26)+(GHS).pdf",2,107-98-2,프로필렌 글리콜 모노메틸 에테르,프로필렌 글리콜 모노메틸 에테르,다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
LCP-77 분홍색 N101,msds-112,"pdf/00_ 사출/나바켐(NAVAKEM), 남방CNA(주)/락카스프레이/나바켐_LCP-77(분홍색).pdf",3,108-10-1,메틸아이소뷰틸케톤(Methyl isobutyl ketone),메틸아이소뷰틸케톤(Methyl isobutyl ketone),다른 물질 이름,손대지 않음 (원본이 그렇게 적음),2026-09-18
